Time (min),Type 0,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7,Type 8,Total
0,21.8702,14.9491,0,2.78188,0,0,0,0,46.8479,86.449,
10,10.7163,0,15.2633,4.86437,0,8.27837,31.0932,0,29.7845,100,
20,44.0477,16.1496,0,0,3.05618,4.17231,0,0,32.5743,100,
30,9.09595,0,0,0,0,0,0,45.1558,45.7482,100,
40,0,15.7361,18.609,1.79649,0,7.4485,0,33.0671,23.3428,100,
50,20.4123,8.35201,13.8069,3.86456,0,5.9679,0,19.2307,28.3657,100,
60,31.253,32.8617,24.1206,5.91354,0,5.85117,0,0,0,100,
70,0,1.70799,0,0,0,4.00017,0,0,94.2918,100,
80,10.6844,1.51375,0,0,0,7.20352,0,0,73.4749,92.8765,
