Statistic Type, Time (min), Run 0, Mean, Std Dev
Utilization, 0, 0.534084, 0.534084, nan, 
, 10, 0.535345, 0.535345, nan, 
, 20, 0.598703, 0.598703, nan, 
, 30, 0.198199, 0.198199, nan, 
, 40, 0.132784, 0.132784, nan, 
, 50, 0.29424, 0.29424, nan, 
, 60, 0.247635, 0.247635, nan, 
, 70, 0.397289, 0.397289, nan, 
, 80, 0.447706, 0.447706, nan, 


Avg Service Time, 0, 4.06464, 4.06464, nan, 
, 1, 0.755993, 0.755993, nan, 
, 2, 24.7092, 24.7092, nan, 
, 3, 0.282928, 0.282928, nan, 
, 4, 0.604988, 0.604988, nan, 
, 5, 1.28906, 1.28906, nan, 
, 6, 0.298703, 0.298703, nan, 
, 7, 0.846539, 0.846539, nan, 
, 8, 1.00785, 1.00785, nan, 


Avg Wait Time, 0, 0.68096, 0.68096, nan, 
, 1, 0, 0, nan, 
, 2, 21.4047, 21.4047, nan, 
, 3, 0, 0, nan, 
, 4, 0, 0, nan, 
, 5, 0, 0, nan, 
, 6, 2.98078, 2.98078, nan, 
, 7, 3.14655, 3.14655, nan, 
, 8, 2.68531, 2.68531, nan, 


Number In, 0, 31, 31, nan, 
, 1, 1, 1, nan, 
, 2, 23, 23, nan, 
, 3, 1, 1, nan, 
, 4, 2, 2, nan, 
, 5, 4, 4, nan, 
, 6, 4, 4, nan, 
, 7, 11, 11, nan, 
, 8, 7, 7, nan, 


Number Out, 0, 31, 31, nan, 
, 1, 1, 1, nan, 
, 2, 23, 23, nan, 
, 3, 1, 1, nan, 
, 4, 2, 2, nan, 
, 5, 4, 4, nan, 
, 6, 4, 4, nan, 
, 7, 11, 11, nan, 
, 8, 6, 6, nan, 


Number Expired, 0, 0, 0, nan, 
, 1, 0, 0, nan, 
, 2, 0, 0, nan, 
, 3, 0, 0, nan, 
, 4, 0, 0, nan, 
, 5, 0, 0, nan, 
, 6, 0, 0, nan, 
, 7, 0, 0, nan, 
, 8, 0, 0, nan, 



