Statistic Type, Task Type, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, Sum
Utilization, 0, 0.0127006, 0.0632134, 0.0523027, 0, 0.0460457, 0.00792809, 0, 0.0108696, 0.0665199, 0.0137016, 0.273282, 
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 2, 0.0554352, 0.198513, 0.23036, 0.122958, 0, 0, 0.181733, 0.193104, 0.355462, 0.477983, 1.81555, 
, 3, 0, 0, 0, 0, 0, 0.0197411, 0, 0, 0, 0, 0.0197411, 
, 4, 0, 0, 0, 0, 0.0389179, 0, 0, 0, 0, 0, 0.0389179, 
, 5, 0, 0.0256801, 0.0249636, 0, 0.0416832, 0.0307693, 0.0383713, 0.0176865, 0.0365753, 0.0151939, 0.230923, 
, 6, 0, 0, 0.0195345, 0.00247612, 0, 0, 0, 0, 0, 0, 0.0220106, 
, 7, 0.00509554, 0, 0, 0.0137379, 0.00443649, 0.0363041, 0.0216537, 0, 0, 0, 0.0812277, 
, 8, 0, 0, 0.0245916, 0, 0, 0, 0, 0, 0.0145531, 0, 0.0391447, 
, Sum, 0.0732313, 0.287406, 0.351752, 0.139172, 0.131083, 0.0947426, 0.241758, 0.22166, 0.47311, 0.506879, 2.52079, 


Avg Service Time, 0, 0.127006, 0.632134, 0.523027, 0, 0.460457, 0.0792809, 0, 0.108696, 0.665199, 0.137016, 2.73282, 
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 2, 0.554352, 1.98513, 2.3036, 1.22958, 0, 0, 1.81733, 1.93104, 3.55462, 4.77983, 18.1555, 
, 3, 0, 0, 0, 0, 0, 0.197411, 0, 0, 0, 0, 0.197411, 
, 4, 0, 0, 0, 0, 0.389179, 0, 0, 0, 0, 0, 0.389179, 
, 5, 0, 0.256801, 0.249636, 0, 0.416832, 0.307693, 0.383713, 0.176865, 0.365753, 0.151939, 2.30923, 
, 6, 0, 0, 0.195345, 0.0247612, 0, 0, 0, 0, 0, 0, 0.220106, 
, 7, 0.0509554, 0, 0, 0.137379, 0.0443649, 0.363041, 0.216537, 0, 0, 0, 0.812277, 
, 8, 0, 0, 0.245916, 0, 0, 0, 0, 0, 0.145531, 0, 0.391447, 
, Sum, 0.732313, 2.87406, 3.51752, 1.39172, 1.31083, 0.947426, 2.41758, 2.2166, 4.7311, 5.06879, 25.2079, 


Avg Wait Time, 0, 0, 0.387693, 0, 0, 0, 0, 0, 0.0376434, 0, 1.20834, 1.63367, 
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 2, 5.96046e-08, 0, 0, 0.0208454, 0, 0, 0, 0, 0.979362, 0.628349, 1.62856, 
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 4, 0, 0, 0, 0, 0.0747604, 0, 0, 0, 0, 0, 0.0747604, 
, 5, 0, 0, 0.102554, 0, 0, 0, 0, 0, 0, 0.837082, 0.939636, 
, 6, 0, 0, 0.199644, 0, 0, 0, 0, 0, 0, 0, 0.199644, 
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 8, 0, 0, 0.0702648, 0, 0, 0, 0, 0, 0.263992, 0, 0.334257, 
, Sum, 5.96046e-08, 0.387693, 0.372463, 0.0208454, 0.0747604, 0, 0, 0.0376434, 1.24335, 2.67377, 4.81053, 


Number In, 0, 4, 2, 2, 0, 4, 0, 1, 3, 2, 0, 18, 
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 2, 1, 2, 1, 0, 0, 1, 2, 2, 5, 2, 16, 
, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 
, 5, 0, 1, 1, 0, 1, 1, 1, 1, 2, 0, 8, 
, 6, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 
, 7, 2, 0, 0, 3, 0, 2, 1, 0, 0, 1, 9, 
, 8, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 3, 
, Sum, 7, 6, 5, 4, 7, 5, 5, 7, 10, 3, 59, 


Number Out, 0, 3, 3, 2, 0, 3, 1, 0, 3, 2, 1, 18, 
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
, 2, 1, 1, 1, 1, 0, 0, 3, 2, 3, 4, 16, 
, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 
, 4, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 
, 5, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 8, 
, 6, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 2, 
, 7, 2, 0, 0, 2, 1, 2, 1, 0, 0, 0, 8, 
, 8, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 3, 
, Sum, 6, 5, 6, 4, 7, 5, 5, 6, 8, 6, 58, 




