Statistic, Task, 0 min, 10 min, 20 min, 30 min, 40 min, 50 min, 60 min, 70 min, 80 min, 90 min, 100 min, 110 min, Sum
Utilization, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0.0386047, 0, 0, 0, 0, 0.0453957, 0.00415344, 0, 0, 0.0881538
, 6, 0.0138943, 0.00204744, 0, 0, 0, 0, 0, 0.000340271, 0.00345383, 0, 0, 0, 0.0197358
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0.00725508, 0, 0, 0, 0, 0.198963, 0, 0, 0.0911377, 0, 0, 0, 0.297356
, Sum, 0.0211493, 0.00204744, 0, 0.0386047, 0, 0.198963, 0, 0.000340271, 0.139987, 0.00415344, 0, 0, 0.405246


Avg Service Time, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0.386047, 0, 0, 0, 0, 0.453957, 0.0415344, 0, 0, 0.881538
, 6, 0.138943, 0.0204744, 0, 0, 0, 0, 0, 0.00340271, 0.0345383, 0, 0, 0, 0.197358
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0.0725508, 0, 0, 0, 0, 1.98963, 0, 0, 0.911377, 0, 0, 0, 2.97356
, Sum, 0.211493, 0.0204744, 0, 0.386047, 0, 1.98963, 0, 0.00340271, 1.39987, 0.0415344, 0, 0, 4.05246


Avg Wait Time, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, Sum, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0


Number In, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 3
, 6, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3
, Sum, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 0, 0, 9


Number Out, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 5, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 3
, 6, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3
, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
, 8, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3
, Sum, 2, 0, 0, 1, 0, 1, 0, 1, 4, 0, 0, 0, 9


